station,start_time,zr_hours,label,duration,lon,lat
SYR,2000-11-26 03:30,7.52,1,7.4,-76.1063,43.1112
UCA,2000-11-26 04:50,4.95,0,3.98,-75.3839,43.1451
BGM,2000-11-26 05:56,1.87,0,1.0,-75.9797,42.2086
MGJ,2000-11-26 06:54,0.55,0,0.0,-74.265,41.5092
CYOW,2000-11-26 07:05,11.22,1,10.92,-75.6692,45.3225
GTB,2000-11-26 08:32,0.85,0,0.38,-75.7195,44.0556
MSS,2000-11-26 09:44,7.0,1,10.27,-74.8456,44.9358
SLK,2000-11-26 09:51,1.65,0,1.0,-74.2062,44.3853
MMK,2000-11-26 10:16,0.67,0,0.0,-72.83,41.51
BDL,2000-11-26 10:51,2.0,0,1.0,-72.6825,41.9381
HFD,2000-11-26 11:12,1.68,0,1.48,-72.6494,41.7367
GFL,2000-11-26 11:35,2.2,0,1.2,-73.6103,43.3412
CEF,2000-11-26 11:55,1.88,0,1.48,-72.5348,42.193999999999996
BAF,2000-11-26 12:37,3.82,0,3.47,-72.7161,42.1578
ORE,2000-11-26 13:24,1.47,0,0.47,-72.2886,42.5701
ORH,2000-11-26 13:27,2.77,0,2.45,-71.8757,42.2673
OWD,2000-11-26 14:02,0.57,0,0.0,-71.1733,42.1912
AFN,2000-11-26 14:08,0.47,0,0.0,-72.003,42.8051
FIT,2000-11-26 14:30,1.65,0,1.37,-71.7558,42.5519
MHT,2000-11-26 14:32,0.47,0,0.35,-71.4358,42.9328
CON,2000-11-26 14:51,2.93,0,3.47,-71.5011,43.1953
VSF,2000-11-26 15:27,2.07,0,2.98,-72.5173,43.3436
ASH,2000-11-26 15:48,1.03,0,0.0,-71.5148,42.7818
DAW,2000-11-26 15:51,0.83,0,0.83,-70.92,43.28
LEB,2000-11-26 16:23,2.22,0,1.75,-72.3042,43.6261
MPV,2000-11-26 16:33,1.87,0,1.83,-72.5623,44.2035
