station,start_time,zr_hours,label,duration,lon,lat
CNK,1995-12-12 22:00,11.93,1,21.0,-97.65,39.55
LNK,1995-12-13 02:00,17.78,1,24.0,-96.7647,40.8478
DSM,1995-12-13 05:00,14.55,1,24.33,-93.6531,41.534
GRI,1995-12-13 06:00,9.85,1,12.0,-98.3096,40.9675
SUX,1995-12-13 06:00,6.08,1,14.0,-96.3795,42.3917
CVG,1995-12-13 11:00,7.0,1,7.0,-84.6717,39.0431
MSN,1995-12-13 15:00,8.58,1,12.0,-89.3453,43.1406
DAY,1995-12-13 16:26,6.57,1,6.57,-84.2186,39.9061
MKE,1995-12-13 19:00,7.07,1,8.0,-87.8967,42.9472
TOL,1995-12-13 19:55,6.32,1,8.08,-83.8014,41.5886
RFD,1995-12-13 20:00,6.0,1,7.0,-89.09299999999999,42.1927
JXN,1995-12-13 22:00,7.0,1,9.0,-84.4594,42.2598
PIT,1995-12-13 23:05,6.92,1,6.92,-80.2329,40.4915
AGC,1995-12-14 00:11,6.82,1,6.82,-79.9217,40.3547
JST,1995-12-14 03:00,10.8,1,13.0,-78.8339,40.3161
ABE,1995-12-14 10:38,7.27,1,10.37,-75.4492,40.6508
