station,start_time,zr_hours,label,duration,lon,lat
DTO,2013-11-22 07:53,7.15,1,18.0,-97.2006,33.205
MAF,2013-11-22 09:00,26.12,1,43.88,-102.2075,31.9466
ODO,2013-11-22 09:05,28.52,1,53.97,-102.3867,31.9206
GDP,2013-11-22 09:15,10.1,1,23.12,-104.8098,31.8331
LBB,2013-11-22 10:20,10.15,1,54.78,-101.8228,33.6636
FDR,2013-11-22 10:29,7.33,1,15.4,-98.9839,34.3521
LTS,2013-11-22 12:21,8.12,1,11.62,-99.2667,34.6671
SPS,2013-11-22 12:33,37.35,1,58.32,-98.4928,33.9786
ABI,2013-11-22 13:52,14.2,1,61.0,-99.6821,32.4106
FST,2013-11-22 13:56,7.97,1,49.35,-102.9167,30.9119
DYS,2013-11-22 13:58,16.58,1,67.33,-99.855,32.421
SJT,2013-11-22 15:10,15.15,1,63.88,-100.495,31.3517
OKC,2013-11-22 17:50,10.02,1,15.82,-97.6006,35.3889
OUN,2013-11-22 17:58,9.0,1,9.95,-97.4708,35.2435
TIK,2013-11-22 18:17,8.45,1,10.68,-97.3866,35.4147
INK,2013-11-23 11:01,9.72,1,29.57,-103.2,31.78
